Date,Time,League,Division,Type,Away_Team,Away_Link,Away_Score,Home_Team,Home_Link,Home_Score,Location,Summary
2025-08-10,16:30,7v7,Touch_7v7_D1_(Sponsored_by_Original_16),REGULAR,Cream Machine,https://pitfootball.com/league/pit-football/division/6/teams/32,,Touch Football Team,https://pitfootball.com/league/pit-football/division/6/teams/36,,John Forsyth (1),
2025-08-08,19:30,7v7,Touch_7v7_D3_(Sponsored_by_Apex_Field_Lining),REGULAR,Past Our Bed Times,https://pitfootball.com/league/pit-football/division/8/teams/47,,North Bay,https://pitfootball.com/league/pit-football/division/8/teams/43,,Frank Whyte Field (1),
2025-08-08,18:00,7v7,Touch_7v7_D5_(Sponsored_by_Original_16),REGULAR,Boltz,https://pitfootball.com/league/pit-football/division/10/teams/57,,Blast From the Past,https://pitfootball.com/league/pit-football/division/10/teams/61,,Frank Whyte Field (1),
2025-08-07,19:30,7v7,Touch_7v7_D5_(Sponsored_by_Original_16),REGULAR,Huddle Buddies,https://pitfootball.com/league/pit-football/division/10/teams/56,,One Bourbon One Scotch One Beer,https://pitfootball.com/league/pit-football/division/10/teams/62,,Assiniboine Park (Deer) (1),
2025-08-07,19:30,7v7,Touch_7v7_D5_(Sponsored_by_Original_16),REGULAR,Gen Gap,https://pitfootball.com/league/pit-football/division/10/teams/59,,Injured Reserve,https://pitfootball.com/league/pit-football/division/10/teams/58,,John Forsyth (1),
2025-08-07,18:00,7v7,Touch_7v7_D2_(Sponsored_by_Tapps),REGULAR,Enforcers,https://pitfootball.com/league/pit-football/division/7/teams/40,,Fail Mary,https://pitfootball.com/league/pit-football/division/7/teams/37,,Assiniboine Park (Deer) (1),
2025-08-07,18:00,7v7,Touch_7v7_D4_(Sponsored_by_the_Winnipeg_Blue_Bombers),REGULAR,Boats 'n Bros FC,https://pitfootball.com/league/pit-football/division/9/teams/50,,Blouses Football,https://pitfootball.com/league/pit-football/division/9/teams/53,,John Forsyth (1),
2025-08-06,21:00,5v5,Touch_5v5_D3_(Sponsored_by_Original_16),REGULAR,Ignite,https://pitfootball.com/league/pit-football/division/3/teams/15,,The Glue Factory,https://pitfootball.com/league/pit-football/division/3/teams/13,,RecPlex Field (1),
2025-08-06,21:00,5v5,Touch_5v5_Flag_Division_(Sponsored_by_the_Winnipeg_Blue_Bombers),REGULAR,Summer Kool Aid Squad,https://pitfootball.com/league/pit-football/division/1/teams/4,,North Bay Flag,https://pitfootball.com/league/pit-football/division/1/teams/2,,RecPlex Field (2),
2025-08-06,20:00,5v5,Touch_5v5_D3_(Sponsored_by_Original_16),REGULAR,Wind Suckers,https://pitfootball.com/league/pit-football/division/3/teams/10,,Black Widows,https://pitfootball.com/league/pit-football/division/3/teams/18,,RecPlex Field (1),
2025-08-06,20:00,5v5,Touch_5v5_D3_(Sponsored_by_Original_16),REGULAR,Los Amigos Del Huddle,https://pitfootball.com/league/pit-football/division/3/teams/12,,No Soup For You!,https://pitfootball.com/league/pit-football/division/3/teams/11,,RecPlex Field (2),
2025-08-06,19:30,7v7,Touch_7v7_D3_(Sponsored_by_Apex_Field_Lining),REGULAR,North End Hawkeyes,https://pitfootball.com/league/pit-football/division/8/teams/48,,Young Wild & Everdeadly,https://pitfootball.com/league/pit-football/division/8/teams/44,,Assiniboine Park (Deer) (1),
2025-08-06,19:00,5v5,Touch_5v5_Coed_Division_(Sponsored_by_Tavern_United),REGULAR,Bruh,https://pitfootball.com/league/pit-football/division/5/teams/27,,Down To Football Coed,https://pitfootball.com/league/pit-football/division/5/teams/28,,RecPlex Field (1),
2025-08-06,19:00,5v5,Touch_5v5_D5_(Sponsored_by_Apex_Field_Lining),REGULAR,SKOL,https://pitfootball.com/league/pit-football/division/4/teams/22,,Fat & Furious,https://pitfootball.com/league/pit-football/division/4/teams/24,,RecPlex Field (2),
2025-08-06,19:00,7v7,Touch_7v7_D5_(Sponsored_by_Original_16),REGULAR,Cobras,https://pitfootball.com/league/pit-football/division/10/teams/55,,Hogs,https://pitfootball.com/league/pit-football/division/10/teams/60,,John Forsyth (1),
2025-08-06,18:00,7v7,Touch_7v7_D3_(Sponsored_by_Apex_Field_Lining),REGULAR,Necessary Roughness,https://pitfootball.com/league/pit-football/division/8/teams/46,,Gotham Knights,https://pitfootball.com/league/pit-football/division/8/teams/45,,Assiniboine Park (Deer) (1),
2025-08-05,21:00,5v5,Touch_5v5_Coed_Division_(Sponsored_by_Tavern_United),REGULAR,Bear Minimum,https://pitfootball.com/league/pit-football/division/5/teams/26,,Dillos Football Club,https://pitfootball.com/league/pit-football/division/5/teams/25,,RecPlex Field (1),
2025-08-05,21:00,5v5,Touch_5v5_Flag_Division_(Sponsored_by_the_Winnipeg_Blue_Bombers),REGULAR,MennoKnights,https://pitfootball.com/league/pit-football/division/1/teams/3,,Winnipeg Rebellion,https://pitfootball.com/league/pit-football/division/1/teams/1,,RecPlex Field (2),
2025-08-05,20:00,5v5,Touch_5v5_D2_(Sponsored_by_Tapps),REGULAR,Rouge God-ish,https://pitfootball.com/league/pit-football/division/2/teams/9,,Knights,https://pitfootball.com/league/pit-football/division/2/teams/6,,RecPlex Field (2),
2025-08-05,20:00,5v5,Touch_5v5_D5_(Sponsored_by_Apex_Field_Lining),REGULAR,Winnipeg Blue Bonnies,https://pitfootball.com/league/pit-football/division/4/teams/21,,Ball Handlers,https://pitfootball.com/league/pit-football/division/4/teams/23,,RecPlex Field (1),
2025-08-05,19:30,7v7,Touch_7v7_D1_(Sponsored_by_Original_16),REGULAR,Gym Class Heroes,https://pitfootball.com/league/pit-football/division/6/teams/33,,Strange Brew,https://pitfootball.com/league/pit-football/division/6/teams/31,,John Forsyth (1),
